# portID	slaveID	channelID	Pre-breakdown	Breakdown	Overvoltage
0	0	46	20.00	52.00	3.0
0	0	9	20.00	52.00	3.0
0	0	59	20.00	52.00	3.0
0	0	45	20.00	52.00	3.0
0	0	8	20.00	52.00	3.0
0	0	58	20.00	52.00	3.0
0	0	44	20.00	52.00	3.0
0	0	23	20.00	52.00	3.0
0	0	57	20.00	52.00	3.0
0	0	43	20.00	52.00	3.0
0	0	22	20.00	52.00	3.0
0	0	56	20.00	52.00	3.0
0	0	42	20.00	52.00	3.0
0	0	21	20.00	52.00	3.0
0	0	7	20.00	52.00	3.0
0	0	41	20.00	52.00	3.0
0	0	20	20.00	52.00	3.0
0	0	6	20.00	52.00	3.0
0	0	40	20.00	52.00	3.0
0	0	19	20.00	52.00	3.0
0	0	5	20.00	52.00	3.0
0	0	55	20.00	52.00	3.0
0	0	18	20.00	52.00	3.0
0	0	4	20.00	52.00	3.0
0	0	54	20.00	52.00	3.0
0	0	17	20.00	52.00	3.0
0	0	3	20.00	52.00	3.0
0	0	53	20.00	52.00	3.0
0	0	39	20.00	52.00	3.0
0	0	16	20.00	52.00	3.0
0	0	2	20.00	52.00	3.0
0	0	52	20.00	52.00	3.0
0	0	38	20.00	52.00	3.0
0	0	31	20.00	52.00	3.0
0	0	1	20.00	52.00	3.0
0	0	51	20.00	52.00	3.0
0	0	37	20.00	52.00	3.0
0	0	30	20.00	52.00	3.0
0	0	0	20.00	52.00	3.0
0	0	50	20.00	52.00	3.0
0	0	36	20.00	52.00	3.0
0	0	29	20.00	52.00	3.0
0	0	15	20.00	52.00	3.0
0	0	49	20.00	52.00	3.0
0	0	35	20.00	52.00	3.0
0	0	28	20.00	52.00	3.0
0	0	14	20.00	52.00	3.0
0	0	48	20.00	52.00	3.0
0	0	34	20.00	52.00	3.0
0	0	27	20.00	52.00	3.0
0	0	13	20.00	52.00	3.0
0	0	63	20.00	52.00	3.0
0	0	33	20.00	52.00	3.0
0	0	26	20.00	52.00	3.0
0	0	12	20.00	52.00	3.0
0	0	62	20.00	52.00	3.0
0	0	32	20.00	52.00	3.0
0	0	25	20.00	52.00	3.0
0	0	11	20.00	52.00	3.0
0	0	61	20.00	52.00	3.0
0	0	47	20.00	52.00	3.0
0	0	24	20.00	52.00	3.0
0	0	10	20.00	52.00	3.0
0	0	60	20.00	52.00	3.0
