# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	0	0	0	T	1.4796957e-01	1.5869920e+02	1.6666866e+02	-1.0000021e-03
0	0	0	0	0	E	1.3186669e-01	1.4691161e+02	1.6323692e+02	-1.2573757e+00
0	0	0	0	1	T	1.5947089e-01	1.4382123e+02	1.7369269e+02	-3.5730746e+00
0	0	0	0	1	E	1.3453698e-01	1.4247153e+02	1.6106616e+02	-3.8025653e-01
0	0	0	0	2	T	1.6040549e-01	1.4875348e+02	1.6713350e+02	-1.0000000e-03
0	0	0	0	2	E	1.3385797e-01	1.4091095e+02	1.6257974e+02	-1.1722941e+00
0	0	0	0	3	T	1.5104422e-01	1.4743623e+02	1.6808258e+02	-1.0000000e-03
0	0	0	0	3	E	1.3613153e-01	1.4061253e+02	1.6882889e+02	-3.9510491e+00
0	0	0	1	0	T	1.5793356e-01	1.5449092e+02	1.6920654e+02	-1.0000099e-03
0	0	0	1	0	E	1.4147210e-01	1.4228990e+02	1.5992523e+02	-6.1767602e-01
0	0	0	1	1	T	1.6012701e-01	1.4391409e+02	1.6900549e+02	-1.0000031e-03
0	0	0	1	1	E	1.3538384e-01	1.3942355e+02	1.5983685e+02	-9.1365117e-01
0	0	0	1	2	T	1.4740691e-01	1.4054344e+02	1.6879701e+02	-1.0000009e-03
0	0	0	1	2	E	1.4126611e-01	1.4099701e+02	1.5925891e+02	-6.1051023e-01
0	0	0	1	3	T	1.5857252e-01	1.4176009e+02	1.6891257e+02	-1.0000058e-03
0	0	0	1	3	E	1.3531518e-01	1.4098682e+02	1.5873018e+02	-1.0000085e-03
0	0	0	2	0	T	1.5955672e-01	1.5543355e+02	1.7001357e+02	-1.0000000e-03
0	0	0	2	0	E	1.3545251e-01	1.3435986e+02	1.5631799e+02	-8.7910402e-01
0	0	0	2	1	T	1.5960822e-01	1.4391072e+02	1.6908104e+02	-1.0000017e-03
0	0	0	2	1	E	1.1129022e-01	1.3118646e+02	1.5597331e+02	-8.8966280e-01
0	0	0	2	2	T	1.5935072e-01	1.4334940e+02	1.7034009e+02	-1.0000000e-03
0	0	0	2	2	E	1.3550591e-01	1.3277599e+02	1.5571608e+02	-7.5163180e-01
0	0	0	2	3	T	1.5602049e-01	1.4519814e+02	1.7026595e+02	-1.0000021e-03
0	0	0	2	3	E	1.3529992e-01	1.3398483e+02	1.5575337e+02	-6.3548958e-01
0	0	0	3	0	T	1.5949568e-01	1.4955272e+02	1.6152989e+02	-1.0000000e-03
0	0	0	3	0	E	1.1973596e-01	1.2944086e+02	1.5268913e+02	-8.3823037e-01
0	0	0	3	1	T	1.5955290e-01	1.3866396e+02	1.6305881e+02	-8.6067665e-01
0	0	0	3	1	E	1.3576531e-01	1.3395418e+02	1.5125449e+02	-6.1906242e-01
0	0	0	3	2	T	1.5984663e-01	1.3940834e+02	1.6134030e+02	-1.0000144e-03
0	0	0	3	2	E	1.3575006e-01	1.3358858e+02	1.5169092e+02	-7.6567525e-01
0	0	0	3	3	T	1.5801749e-01	1.3767436e+02	1.6165439e+02	-1.0000000e-03
0	0	0	3	3	E	1.3528466e-01	1.3299397e+02	1.5235614e+02	-1.1299133e+00
0	0	0	4	0	T	1.5240988e-01	1.5059579e+02	1.7092493e+02	-1.0000000e-03
0	0	0	4	0	E	1.2472558e-01	1.3571915e+02	1.5841264e+02	-1.1325459e+00
0	0	0	4	1	T	1.4620337e-01	1.4251003e+02	1.7114433e+02	-1.0000000e-03
0	0	0	4	1	E	1.3549066e-01	1.3815173e+02	1.5884698e+02	-7.2548681e-01
0	0	0	4	2	T	1.5159354e-01	1.4354611e+02	1.7035823e+02	-1.0000000e-03
0	0	0	4	2	E	1.3553643e-01	1.3812793e+02	1.5848692e+02	-1.0072650e+00
0	0	0	4	3	T	1.4080748e-01	1.3854506e+02	1.7129155e+02	-1.0000097e-03
0	0	0	4	3	E	1.3557458e-01	1.3544684e+02	1.5788635e+02	-7.1056813e-01
0	0	0	5	0	T	9.7131103e-02	1.5965030e+02	1.7016748e+02	-1.0000000e-03
0	0	0	5	0	E	8.0948114e-02	1.3741858e+02	1.6220332e+02	-2.9992487e+00
0	0	0	5	1	T	9.8594040e-02	1.4991435e+02	1.7039656e+02	-1.0000000e-03
0	0	0	5	1	E	7.9109430e-02	1.3958304e+02	1.6251233e+02	-3.0009947e+00
0	0	0	5	2	T	9.8430008e-02	1.4809178e+02	1.6981224e+02	-1.0000000e-03
0	0	0	5	2	E	8.0810785e-02	1.3825528e+02	1.6156236e+02	-2.7155857e+00
0	0	0	5	3	T	9.9381775e-02	1.4703076e+02	1.7053093e+02	-1.0000005e-03
0	0	0	5	3	E	6.5193415e-02	1.3648578e+02	1.6255632e+02	-2.8524594e+00
0	0	0	6	0	T	8.6428970e-02	1.5087724e+02	1.6317245e+02	-1.0000000e-03
0	0	0	6	0	E	5.9410334e-02	1.2439661e+02	1.5602112e+02	-2.9955935e+00
0	0	0	6	1	T	9.8140091e-02	1.4028003e+02	1.6307999e+02	-1.0000147e-03
0	0	0	6	1	E	6.7131281e-02	1.2578065e+02	1.5560777e+02	-2.9223516e+00
0	0	0	6	2	T	9.6715301e-02	1.4086665e+02	1.6281371e+02	-1.0000000e-03
0	0	0	6	2	E	7.4974298e-02	1.2683754e+02	1.5581587e+02	-2.8353293e+00
0	0	0	6	3	T	9.3760818e-02	1.3837975e+02	1.6345535e+02	-1.0000125e-03
0	0	0	6	3	E	6.0089350e-02	1.2461211e+02	1.5642441e+02	-3.0572941e+00
0	0	0	7	0	T	1.0561308e-01	1.5557568e+02	1.6302080e+02	-1.0000034e-03
0	0	0	7	0	E	7.5584650e-02	1.3453105e+02	1.6780693e+02	-3.2881587e+00
0	0	0	7	1	T	1.0349783e-01	1.4351736e+02	1.6324754e+02	-1.0000000e-03
0	0	0	7	1	E	7.0839167e-02	1.3260335e+02	1.6888170e+02	-3.8008590e+00
0	0	0	7	2	T	1.0472426e-01	1.4284312e+02	1.6273062e+02	-1.0000004e-03
0	0	0	7	2	E	7.4600458e-02	1.3390656e+02	1.6754443e+02	-3.2242758e+00
0	0	0	7	3	T	9.8513931e-02	1.4304924e+02	1.6269527e+02	-1.0000096e-03
0	0	0	7	3	E	7.4508905e-02	1.3153345e+02	1.6590045e+02	-1.9887307e+00
0	0	0	8	0	T	9.2824310e-02	1.5683673e+02	1.5836275e+02	-1.0000002e-03
0	0	0	8	0	E	8.0948114e-02	1.3824138e+02	1.6286661e+02	-3.0433221e+00
0	0	0	8	1	T	9.3272537e-02	1.4914253e+02	1.5885028e+02	-1.0000005e-03
0	0	0	8	1	E	8.0559015e-02	1.3755576e+02	1.6205331e+02	-2.8541484e+00
0	0	0	8	2	T	9.4025940e-02	1.4670164e+02	1.5869373e+02	-1.0000000e-03
0	0	0	8	2	E	8.0932856e-02	1.3617590e+02	1.6269604e+02	-3.2834907e+00
0	0	0	8	3	T	8.1059784e-02	1.4445483e+02	1.5891536e+02	-1.0000000e-03
0	0	0	8	3	E	7.7430964e-02	1.3396483e+02	1.6270624e+02	-3.2492058e+00
0	0	0	9	0	T	1.0980925e-01	1.4732240e+02	1.5642033e+02	-1.0000002e-03
0	0	0	9	0	E	7.9918146e-02	1.3934097e+02	1.6767036e+02	-3.5712869e+00
0	0	0	9	1	T	1.1007056e-01	1.3876663e+02	1.5498438e+02	-1.0000000e-03
0	0	0	9	1	E	6.4499140e-02	1.3529341e+02	1.6864328e+02	-3.9998131e+00
0	0	0	9	2	T	1.0935912e-01	1.3957889e+02	1.5506667e+02	-1.0000000e-03
0	0	0	9	2	E	8.0444574e-02	1.3785471e+02	1.6814214e+02	-4.0651193e+00
0	0	0	9	3	T	9.7649902e-02	1.3275502e+02	1.5593359e+02	-1.0000019e-03
0	0	0	9	3	E	7.8720331e-02	1.3626715e+02	1.6827806e+02	-3.8276083e+00
0	0	0	10	0	T	1.0542807e-01	1.6551498e+02	1.7301976e+02	-1.0000004e-03
0	0	0	10	0	E	7.4951410e-02	1.3804625e+02	1.6823904e+02	-3.2402396e+00
0	0	0	10	1	T	1.0481772e-01	1.5282802e+02	1.7324902e+02	-1.0000006e-03
